
Wavelength	SpectralRadiance
1.00e-07	4.11e+08
1.25e-07	1.64e+10
1.49e-07	1.52e+11
1.74e-07	7.97e+11
1.98e-07	2.20e+12
2.23e-07	5.25e+12
2.48e-07	7.47e+12
2.72e-07	1.02e+13
2.97e-07	1.63e+13
3.22e-07	1.89e+13
3.46e-07	2.15e+13
3.71e-07	3.04e+13
3.95e-07	3.35e+13
4.20e-07	2.96e+13
4.45e-07	3.38e+13
4.69e-07	3.69e+13
4.94e-07	3.27e+13
5.19e-07	3.13e+13
5.43e-07	2.63e+13
5.68e-07	2.83e+13
5.92e-07	3.64e+13
6.17e-07	2.89e+13
6.42e-07	3.19e+13
6.66e-07	2.51e+13
6.91e-07	2.94e+13
7.16e-07	2.36e+13
7.40e-07	2.19e+13
7.65e-07	2.03e+13
7.89e-07	1.75e+13
8.14e-07	1.81e+13
8.39e-07	1.56e+13
8.63e-07	1.55e+13
8.88e-07	1.51e+13
9.13e-07	1.44e+13
9.37e-07	1.40e+13
9.62e-07	1.33e+13
9.86e-07	1.51e+13
1.01e-06	1.26e+13
1.04e-06	1.10e+13
1.06e-06	9.18e+12
1.08e-06	1.05e+13
1.11e-06	9.49e+12
1.13e-06	8.67e+12
1.16e-06	9.43e+12
1.18e-06	6.62e+12
1.21e-06	7.51e+12
1.23e-06	7.25e+12
1.26e-06	6.79e+12
1.28e-06	6.11e+12
1.31e-06	4.69e+12
1.33e-06	6.30e+12
1.36e-06	5.02e+12
1.38e-06	5.75e+12
1.41e-06	4.77e+12
1.43e-06	4.65e+12
1.45e-06	4.93e+12
1.48e-06	4.11e+12
1.50e-06	3.60e+12
1.53e-06	3.53e+12
1.55e-06	3.83e+12
1.58e-06	3.47e+12
1.60e-06	3.42e+12
1.63e-06	3.25e+12
1.65e-06	3.11e+12
1.68e-06	2.82e+12
1.70e-06	2.60e+12
1.73e-06	2.86e+12
1.75e-06	2.39e+12
1.77e-06	2.27e+12
1.80e-06	2.10e+12
1.82e-06	1.86e+12
1.85e-06	1.86e+12
1.87e-06	2.18e+12
1.90e-06	2.07e+12
1.92e-06	2.02e+12
1.95e-06	1.79e+12
1.97e-06	1.62e+12
2.00e-06	1.74e+12
2.02e-06	1.78e+12
2.05e-06	1.47e+12
2.07e-06	1.52e+12
2.09e-06	1.53e+12
2.12e-06	1.62e+12
2.14e-06	1.41e+12
2.17e-06	1.22e+12
2.19e-06	1.12e+12
2.22e-06	1.14e+12
2.24e-06	1.10e+12
2.27e-06	9.91e+11
2.29e-06	1.05e+12
2.32e-06	1.03e+12
2.34e-06	9.56e+11
2.37e-06	9.82e+11
2.39e-06	8.08e+11
2.41e-06	9.08e+11
2.44e-06	8.73e+11
2.46e-06	7.12e+11
2.49e-06	8.79e+11
2.51e-06	6.53e+11
2.54e-06	7.81e+11
2.56e-06	8.12e+11
2.59e-06	6.80e+11
2.61e-06	6.27e+11
2.64e-06	6.42e+11
2.66e-06	5.31e+11
2.69e-06	6.22e+11
2.71e-06	7.31e+11
2.73e-06	6.34e+11
2.76e-06	6.00e+11
2.78e-06	4.43e+11
2.81e-06	4.77e+11
2.83e-06	4.65e+11
2.86e-06	5.37e+11
2.88e-06	4.79e+11
2.91e-06	4.29e+11
2.93e-06	3.99e+11
2.96e-06	4.33e+11
2.98e-06	4.67e+11
3.01e-06	3.37e+11
3.03e-06	4.66e+11
3.05e-06	3.52e+11
3.08e-06	3.67e+11
3.10e-06	3.90e+11
3.13e-06	3.80e+11
3.15e-06	3.90e+11
3.18e-06	3.48e+11
3.20e-06	3.34e+11
3.23e-06	2.66e+11
3.25e-06	3.55e+11
3.28e-06	2.62e+11
3.30e-06	2.79e+11
3.33e-06	3.24e+11
3.35e-06	2.73e+11
3.37e-06	2.75e+11
3.40e-06	2.26e+11
3.42e-06	2.71e+11
3.45e-06	2.53e+11
3.47e-06	2.46e+11
3.50e-06	2.40e+11
3.52e-06	2.21e+11
3.55e-06	2.26e+11
3.57e-06	1.86e+11
3.60e-06	2.01e+11
3.62e-06	2.17e+11
3.65e-06	2.15e+11
3.67e-06	1.74e+11
3.69e-06	1.99e+11
3.72e-06	1.72e+11
3.74e-06	1.74e+11
3.77e-06	1.74e+11
3.79e-06	1.74e+11
3.82e-06	1.65e+11
3.84e-06	1.93e+11
3.87e-06	1.74e+11
3.89e-06	1.46e+11
3.92e-06	1.44e+11
3.94e-06	1.48e+11
3.97e-06	1.43e+11
3.99e-06	1.58e+11
4.02e-06	1.21e+11
4.04e-06	1.32e+11
4.06e-06	1.42e+11
4.09e-06	1.33e+11
4.11e-06	1.21e+11
4.14e-06	1.32e+11
4.16e-06	1.20e+11
4.19e-06	1.28e+11
4.21e-06	1.20e+11
4.24e-06	1.30e+11
4.26e-06	1.14e+11
4.29e-06	1.05e+11
4.31e-06	1.12e+11
4.34e-06	1.10e+11
4.36e-06	9.42e+10
4.38e-06	9.28e+10
4.41e-06	9.39e+10
4.43e-06	1.06e+11
4.46e-06	8.94e+10
4.48e-06	9.01e+10
4.51e-06	9.60e+10
4.53e-06	8.98e+10
4.56e-06	9.68e+10
4.58e-06	8.15e+10
4.61e-06	1.12e+11
4.63e-06	8.39e+10
4.66e-06	8.44e+10
4.68e-06	8.98e+10
4.70e-06	7.30e+10
4.73e-06	6.82e+10
4.75e-06	7.80e+10
4.78e-06	8.72e+10
4.80e-06	7.67e+10
4.83e-06	7.08e+10
4.85e-06	5.85e+10
4.88e-06	6.89e+10
4.90e-06	7.44e+10
4.93e-06	6.45e+10
4.95e-06	6.43e+10
4.98e-06	6.10e+10
5.00e-06	6.35e+10
