
Wavelength	SpectralRadiance
1.00e-07	3.41e+06
1.25e-07	3.19e+08
1.49e-07	6.27e+09
1.74e-07	4.88e+10
1.98e-07	2.13e+11
2.23e-07	5.49e+11
2.48e-07	1.32e+12
2.72e-07	1.84e+12
2.97e-07	3.14e+12
3.22e-07	4.66e+12
3.46e-07	6.12e+12
3.71e-07	6.23e+12
3.95e-07	8.54e+12
4.20e-07	9.04e+12
4.45e-07	1.20e+13
4.69e-07	9.06e+12
4.94e-07	1.03e+13
5.19e-07	1.43e+13
5.43e-07	1.22e+13
5.68e-07	1.21e+13
5.92e-07	1.22e+13
6.17e-07	1.17e+13
6.42e-07	1.38e+13
6.66e-07	1.11e+13
6.91e-07	1.23e+13
7.16e-07	1.17e+13
7.40e-07	1.29e+13
7.65e-07	9.18e+12
7.89e-07	9.81e+12
8.14e-07	1.03e+13
8.39e-07	8.23e+12
8.63e-07	8.29e+12
8.88e-07	7.71e+12
9.13e-07	9.50e+12
9.37e-07	8.28e+12
9.62e-07	8.41e+12
9.86e-07	6.80e+12
1.01e-06	6.01e+12
1.04e-06	7.42e+12
1.06e-06	6.60e+12
1.08e-06	5.37e+12
1.11e-06	6.59e+12
1.13e-06	5.24e+12
1.16e-06	5.45e+12
1.18e-06	5.45e+12
1.21e-06	4.66e+12
1.23e-06	4.65e+12
1.26e-06	4.30e+12
1.28e-06	3.45e+12
1.31e-06	3.35e+12
1.33e-06	4.06e+12
1.36e-06	3.88e+12
1.38e-06	3.29e+12
1.41e-06	3.43e+12
1.43e-06	2.65e+12
1.45e-06	2.56e+12
1.48e-06	2.56e+12
1.50e-06	2.52e+12
1.53e-06	2.70e+12
1.55e-06	2.15e+12
1.58e-06	2.88e+12
1.60e-06	2.24e+12
1.63e-06	2.08e+12
1.65e-06	2.04e+12
1.68e-06	2.11e+12
1.70e-06	1.77e+12
1.73e-06	1.64e+12
1.75e-06	2.01e+12
1.77e-06	1.67e+12
1.80e-06	1.51e+12
1.82e-06	1.79e+12
1.85e-06	1.46e+12
1.87e-06	1.26e+12
1.90e-06	1.31e+12
1.92e-06	1.34e+12
1.95e-06	1.30e+12
1.97e-06	1.03e+12
2.00e-06	1.17e+12
2.02e-06	1.11e+12
2.05e-06	1.17e+12
2.07e-06	9.46e+11
2.09e-06	1.01e+12
2.12e-06	8.47e+11
2.14e-06	8.16e+11
2.17e-06	8.48e+11
2.19e-06	8.94e+11
2.22e-06	8.37e+11
2.24e-06	7.21e+11
2.27e-06	8.10e+11
2.29e-06	7.62e+11
2.32e-06	6.86e+11
2.34e-06	7.48e+11
2.37e-06	6.97e+11
2.39e-06	6.93e+11
2.41e-06	6.04e+11
2.44e-06	5.54e+11
2.46e-06	6.46e+11
2.49e-06	5.44e+11
