
Wavelength	SpectralRadiance
1.00e-07	1.41e+10
1.25e-07	2.70e+11
1.49e-07	1.48e+12
1.74e-07	5.80e+12
1.98e-07	1.41e+13
2.23e-07	2.32e+13
2.48e-07	2.80e+13
2.72e-07	3.98e+13
2.97e-07	5.14e+13
3.22e-07	5.27e+13
3.46e-07	6.83e+13
3.71e-07	6.70e+13
3.95e-07	6.69e+13
4.20e-07	7.54e+13
4.45e-07	7.48e+13
4.69e-07	6.43e+13
4.94e-07	6.68e+13
5.19e-07	6.94e+13
5.43e-07	5.70e+13
5.68e-07	5.87e+13
5.92e-07	4.67e+13
6.17e-07	4.65e+13
6.42e-07	5.05e+13
6.66e-07	4.65e+13
6.91e-07	4.26e+13
7.16e-07	4.58e+13
7.40e-07	3.35e+13
7.65e-07	3.30e+13
7.89e-07	2.77e+13
8.14e-07	2.49e+13
8.39e-07	3.18e+13
8.63e-07	2.51e+13
8.88e-07	2.42e+13
9.13e-07	2.62e+13
9.37e-07	1.76e+13
9.62e-07	2.26e+13
9.86e-07	1.75e+13
1.01e-06	1.69e+13
1.04e-06	1.49e+13
1.06e-06	1.61e+13
1.08e-06	1.36e+13
1.11e-06	1.37e+13
1.13e-06	1.15e+13
1.16e-06	1.16e+13
1.18e-06	1.02e+13
1.21e-06	1.00e+13
1.23e-06	9.94e+12
1.26e-06	9.28e+12
1.28e-06	7.04e+12
1.31e-06	7.30e+12
1.33e-06	7.58e+12
1.36e-06	8.11e+12
1.38e-06	8.63e+12
1.41e-06	7.11e+12
1.43e-06	6.70e+12
1.45e-06	6.26e+12
1.48e-06	6.08e+12
1.50e-06	5.31e+12
1.53e-06	4.58e+12
1.55e-06	4.32e+12
1.58e-06	5.11e+12
1.60e-06	3.93e+12
1.63e-06	4.47e+12
1.65e-06	3.68e+12
1.68e-06	3.48e+12
1.70e-06	4.01e+12
1.73e-06	3.53e+12
1.75e-06	3.49e+12
1.77e-06	3.30e+12
1.80e-06	2.96e+12
1.82e-06	2.34e+12
1.85e-06	2.26e+12
1.87e-06	2.71e+12
1.90e-06	2.04e+12
1.92e-06	2.14e+12
1.95e-06	2.08e+12
1.97e-06	2.60e+12
2.00e-06	2.28e+12
2.02e-06	2.05e+12
2.05e-06	1.80e+12
2.07e-06	1.77e+12
2.09e-06	1.63e+12
2.12e-06	1.79e+12
2.14e-06	1.47e+12
2.17e-06	1.83e+12
2.19e-06	1.54e+12
2.22e-06	1.48e+12
2.24e-06	1.56e+12
2.27e-06	1.30e+12
2.29e-06	1.36e+12
2.32e-06	1.13e+12
2.34e-06	1.11e+12
2.37e-06	1.07e+12
2.39e-06	1.08e+12
2.41e-06	1.09e+12
2.44e-06	1.00e+12
2.46e-06	9.37e+11
2.49e-06	9.89e+11
2.51e-06	1.07e+12
2.54e-06	8.00e+11
2.56e-06	8.96e+11
2.59e-06	7.79e+11
2.61e-06	9.30e+11
2.64e-06	7.24e+11
2.66e-06	7.52e+11
2.69e-06	7.14e+11
2.71e-06	7.63e+11
2.73e-06	7.71e+11
2.76e-06	6.86e+11
2.78e-06	7.49e+11
2.81e-06	6.47e+11
2.83e-06	5.27e+11
2.86e-06	5.41e+11
2.88e-06	5.89e+11
2.91e-06	5.90e+11
2.93e-06	5.84e+11
2.96e-06	6.36e+11
2.98e-06	4.80e+11
3.01e-06	4.53e+11
3.03e-06	4.92e+11
3.05e-06	4.38e+11
3.08e-06	4.30e+11
3.10e-06	3.70e+11
3.13e-06	3.92e+11
3.15e-06	4.13e+11
3.18e-06	3.92e+11
3.20e-06	4.44e+11
3.23e-06	3.54e+11
3.25e-06	4.00e+11
3.28e-06	3.64e+11
3.30e-06	3.38e+11
3.33e-06	4.02e+11
3.35e-06	3.22e+11
3.37e-06	3.36e+11
3.40e-06	2.94e+11
3.42e-06	3.22e+11
3.45e-06	3.13e+11
3.47e-06	2.61e+11
3.50e-06	2.97e+11
3.52e-06	3.13e+11
3.55e-06	2.70e+11
3.57e-06	2.89e+11
3.60e-06	2.62e+11
3.62e-06	2.25e+11
3.65e-06	2.30e+11
3.67e-06	2.37e+11
3.69e-06	1.86e+11
3.72e-06	2.52e+11
3.74e-06	2.00e+11
3.77e-06	2.02e+11
3.79e-06	2.03e+11
3.82e-06	1.75e+11
3.84e-06	1.98e+11
3.87e-06	2.09e+11
3.89e-06	1.90e+11
3.92e-06	1.86e+11
3.94e-06	1.75e+11
3.97e-06	1.55e+11
3.99e-06	1.52e+11
4.02e-06	1.66e+11
4.04e-06	1.57e+11
4.06e-06	1.74e+11
4.09e-06	1.56e+11
4.11e-06	1.62e+11
4.14e-06	1.32e+11
4.16e-06	1.55e+11
4.19e-06	1.46e+11
4.21e-06	1.46e+11
4.24e-06	1.26e+11
4.26e-06	1.53e+11
4.29e-06	1.22e+11
4.31e-06	1.14e+11
4.34e-06	1.40e+11
4.36e-06	1.08e+11
4.38e-06	1.27e+11
4.41e-06	1.05e+11
4.43e-06	1.14e+11
4.46e-06	1.08e+11
4.48e-06	1.09e+11
4.51e-06	1.07e+11
4.53e-06	1.09e+11
4.56e-06	9.43e+10
4.58e-06	1.03e+11
4.61e-06	1.12e+11
4.63e-06	9.49e+10
4.66e-06	9.63e+10
4.68e-06	8.41e+10
4.70e-06	8.92e+10
4.73e-06	9.29e+10
4.75e-06	8.65e+10
4.78e-06	9.81e+10
4.80e-06	8.38e+10
4.83e-06	8.24e+10
4.85e-06	9.91e+10
4.88e-06	8.10e+10
4.90e-06	7.47e+10
4.93e-06	7.69e+10
4.95e-06	9.00e+10
4.98e-06	7.15e+10
5.00e-06	6.95e+10
